Benchmark,len(list_before_reduction),len(list_after_reduction),kendall_corr,kendall_p_value,spearman_corr,spearman_p_value
xml-4c99b96-14,1,1,nan,nan,nan,nan
xml-4c99b96-14,3,1,-0.816496580927726,0.22067136191984693,-0.8660254037844387,0.3333333333333332
xml-4c99b96-14,3,3,nan,nan,nan,nan
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,6,6,nan,nan,nan,nan
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,9,1,-0.4714045207910316,0.12133525035848208,-0.5477225575051661,0.12687036692367104
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,3,3,nan,nan,nan,nan
xml-4c99b96-14,2,2,nan,nan,nan,nan
xml-4c99b96-14,9,8,0.0,1.0,0.0,1.0
xml-4c99b96-14,8,7,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,4,1,-0.7071067811865477,0.17971249487899976,-0.7745966692414834,0.22540333075851657
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,3,3,nan,nan,nan,nan
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,6,6,nan,nan,nan,nan
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,5,1,-0.6324555320336759,0.15729920705028516,-0.7071067811865475,0.18169011381620928
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,3,3,nan,nan,nan,nan
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,6,6,nan,nan,nan,nan
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,9,1,-0.4714045207910316,0.12133525035848208,-0.5477225575051661,0.12687036692367104
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,3,3,nan,nan,nan,nan
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,6,6,nan,nan,nan,nan
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,7,1,-0.5345224838248489,0.13361440253771611,-0.6123724356957945,0.14381080871160384
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,3,3,nan,nan,nan,nan
xml-4c99b96-14,2,2,nan,nan,nan,nan
xml-4c99b96-14,12,8,0.0,1.0,0.0,1.0
xml-4c99b96-14,8,7,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,4,1,-0.7071067811865477,0.17971249487899976,-0.7745966692414834,0.22540333075851657
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,3,3,nan,nan,nan,nan
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,6,6,nan,nan,nan,nan
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,3,1,-0.816496580927726,0.22067136191984693,-0.8660254037844387,0.3333333333333332
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,3,3,nan,nan,nan,nan
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,6,6,nan,nan,nan,nan
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,3,1,-0.816496580927726,0.22067136191984693,-0.8660254037844387,0.3333333333333332
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,3,3,nan,nan,nan,nan
xml-4c99b96-14,2,2,nan,nan,nan,nan
xml-4c99b96-14,12,7,0.0,1.0,0.0,1.0
xml-4c99b96-14,5,4,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,3,1,-0.816496580927726,0.22067136191984693,-0.8660254037844387,0.3333333333333332
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,3,3,nan,nan,nan,nan
xml-4c99b96-14,2,2,nan,nan,nan,nan
xml-4c99b96-14,12,8,0.0,1.0,0.0,1.0
xml-4c99b96-14,8,7,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,5,1,-0.7071067811865477,0.17971249487899976,-0.7745966692414834,0.22540333075851657
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,3,3,nan,nan,nan,nan
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,6,6,nan,nan,nan,nan
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,4,1,0.2357022603955159,0.6547208460185769,0.2581988897471611,0.7418011102528389
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,3,3,nan,nan,nan,nan
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,6,6,nan,nan,nan,nan
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,3,3,nan,nan,nan,nan
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,6,6,nan,nan,nan,nan
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,3,3,nan,nan,nan,nan
xml-4c99b96-14,2,2,nan,nan,nan,nan
xml-4c99b96-14,9,8,nan,nan,nan,nan
xml-4c99b96-14,1,1,nan,nan,nan,nan
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,3,3,nan,nan,nan,nan
xml-4c99b96-14,6,6,nan,nan,nan,nan
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,3,3,nan,nan,nan,nan
xml-4c99b96-14,2,2,nan,nan,nan,nan
xml-4c99b96-14,8,7,0.0,1.0,0.0,1.0
xml-4c99b96-14,5,4,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,3,3,nan,nan,nan,nan
xml-4c99b96-14,6,6,nan,nan,nan,nan
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,3,3,nan,nan,nan,nan
xml-4c99b96-14,6,6,nan,nan,nan,nan
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,3,3,nan,nan,nan,nan
xml-4c99b96-14,6,6,nan,nan,nan,nan
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,3,3,nan,nan,nan,nan
xml-4c99b96-14,2,2,nan,nan,nan,nan
xml-4c99b96-14,8,7,0.0,1.0,0.0,1.0
xml-4c99b96-14,5,4,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,3,3,nan,nan,nan,nan
xml-4c99b96-14,6,6,nan,nan,nan,nan
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,3,3,nan,nan,nan,nan
xml-4c99b96-14,6,6,nan,nan,nan,nan
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,3,3,nan,nan,nan,nan
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,6,6,nan,nan,nan,nan
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,3,3,nan,nan,nan,nan
xml-4c99b96-14,2,2,nan,nan,nan,nan
xml-4c99b96-14,8,7,0.0,1.0,0.0,1.0
xml-4c99b96-14,5,4,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,3,3,nan,nan,nan,nan
xml-4c99b96-14,6,6,nan,nan,nan,nan
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,3,3,nan,nan,nan,nan
xml-4c99b96-14,6,6,nan,nan,nan,nan
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,3,3,nan,nan,nan,nan
xml-4c99b96-14,6,6,nan,nan,nan,nan
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,2,1,-1.0,1.0,-0.9999999999999999,nan
xml-4c99b96-14,3,3,nan,nan,nan,nan
xml-4c99b96-14,2,2,nan,nan,nan,nan
xml-4c99b96-14,9,8,nan,nan,nan,nan
xml-4c99b96-14,1,1,nan,nan,nan,nan
